source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,repeat,rmse_component
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3913098978147107,-1.2362096123398758,0.4043922443664032,0.41303415052257875,0.00864190615617555,21644,0,7404,0.30434505109264465,0.3039872159366378,0.30470288624865144,0.3905942275026971,0.3920255681267244,0.00035783515600681937,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,5,0.41303415052257875
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.301504815512909,-0.9525012098730691,0.6881006468332099,0.6967425529893855,0.00864190615617555,22678,0,7759,0.3492475922435455,0.3488949310033569,0.3496002534837342,0.3007994930325316,0.3022101379932862,0.00035266124018865086,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,6,0.6967425529893855
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4130433776508029,-1.3048690989335265,0.33573275777275247,0.344374663928928,0.00864190615617555,20399,0,6998,0.29347831117459855,0.2931050457714556,0.29385157657774147,0.41229684684451706,0.41378990845708885,0.0003732654031429472,147456,"[0, 0, 18]","[1.0, 37.0]",2,18,7,0.344374663928928
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3743636244753996,-1.1826736652238257,0.45792819148245334,0.4665700976386289,0.00864190615617555,22661,0,7774,0.3128181877623002,0.3124752104692972,0.3131611650553031,0.37367766988939377,0.37504957906140557,0.00034297729300294955,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,8,0.4665700976386289
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3432131778752896,-1.0842644971174513,0.5563373595888277,0.5649792657450032,0.00864190615617555,24913,0,8568,0.3283934110623552,0.32807688326029694,0.3287099388644135,0.34258012227117296,0.3438462334794061,0.0003165278020582918,180224,"[0, 0, 22]","[1.0, 45.0]",2,22,9,0.5649792657450032
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.34172411121801116,-1.079560300966466,0.561041555739813,0.5696834618959885,0.00864190615617555,55065,0,18939,0.3291379443909944,0.3285560978811186,0.3297197909008703,0.34056041819825944,0.34288780423776277,0.000581846509875833,27136,"[0, 0, 4, 49]","[1.0, 9.0, 11.0]",3,49,0,0.5696834618959885
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.001185321893964586,0.0037446185931380807,1.644346475299417,1.6529883814555926,0.00864190615617555,12576,0,4297,0.5005926609469823,0.4979277830492339,0.5032575388447307,-0.006515077689461357,0.004144433901532185,0.0026648778977483856,6144,"[0, 0, 1, 11]","[1.0, 3.0, 7.666666666666667]",3,11,1,1.6529883814555926
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3376064624721311,-1.0665519999029789,0.5740498568033001,0.5826917629594757,0.00864190615617555,51021,0,17438,0.33119676876393445,0.33056274688411585,0.331830790643753,0.33633841871249404,0.3388745062317683,0.0006340218798185637,25088,"[0, 0, 4, 45]","[1.0, 9.0, 10.11111111111111]",3,45,2,0.5826917629594757
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.0,-0.0,1.640601856706279,1.6492437628624546,0.00864190615617555,26021,0,8899,0.5,0.4986959119180082,0.5013040880819918,-0.0026081761639835666,0.0026081761639835666,0.0013040880819917833,12800,"[0, 0, 2, 23]","[1.0, 5.0, 9.4]",3,23,3,1.6492437628624546
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,8.653773939959475e-05,-0.0002733863515167147,1.6403284703547623,1.6489703765109378,0.00864190615617555,24901,0,8544,0.4999567311303002,0.4985946835803836,0.5013187786802168,-0.0026375573604335845,0.002810632839232774,0.0013620475499165896,12288,"[0, 0, 2, 22]","[1.0, 5.0, 9.0]",3,22,4,1.6489703765109378
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.001189034075241402,-0.003756345958591333,1.6368455107476876,1.6454874169038631,0.00864190615617555,32625,0,11218,0.4994054829623793,0.49836659796893534,0.5004443679558233,-0.0008887359116465099,0.0032668040621293137,0.001038884993443956,15872,"[0, 0, 2, 29]","[1.0, 5.0, 11.8]",3,29,5,1.6454874169038631
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,-0.0015113728313558283,0.0047746648689067995,1.6453765215751859,1.6540184277313614,0.00864190615617555,27073,0,9272,0.5007556864156779,0.4995047801296529,0.5020065927017029,-0.0040131854034057834,0.0009904397406942378,0.0012509062860250053,13312,"[0, 0, 2, 24]","[1.0, 5.0, 9.8]",3,24,6,1.6540184277313614
real_mitigated,ibm_berlin,runtime_dd_twirling,5,1,512,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.27875707995249677,-0.8806375296651568,0.7599643270411222,0.7686062331972977,0.00864190615617555,61969,0,21276,0.3606214600237516,0.36009115312103973,0.36115176692646356,0.2776964661470729,0.27981769375792054,0.0005303069027119134,30720,"[0, 0, 5, 55]","[1.0, 11.0, 10.090909090909092]",3,55,7,0.7686062331972977
