series,backend,condition,n,seed,shots,kl,tvd,integral,analytic_ref,abs_error,depth,ops,param_file,source_file
berlin_mitigated,ibm_berlin,zne_scaled_counts_readout_postprocessed_zne_poly2,7,0,4096,0.0854384096634751,0.1586634697010867,8.012298469271945,7.561698543939756,0.450599925332189,2217,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123708Z_ibm_berlin_berlin_hn_zne_dd_twirling_allgates_4096_n78_submission_results.csv
berlin_mitigated,ibm_berlin,zne_scaled_counts_zne_poly2,8,2,4096,0.0813034948725358,0.146464120010662,7.562527339264577,7.561698543939756,0.0008287953248204,1914,nan,nan,experiments\nighthawk_backend_probe_20260702\outputs\20260702T123708Z_ibm_berlin_berlin_hn_zne_dd_twirling_allgates_4096_n78_submission_results.csv
aer_ideal_transpiled_ibm_yonsei,ibm_yonsei,aer_ideal_backend_transpiled,2,0,262144,9.769830245556679e-06,0.0013317067658515404,8.414482209099688,7.561698543939756,0.8527836651599321,21,"{""ecr"": 3, ""measure"": 2, ""rz"": 18, ""sx"": 14}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q20_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_yonsei,ibm_yonsei,aer_ideal_backend_transpiled,3,9,262144,5.461359938771802e-06,0.0009246875294024728,7.562313787005576,7.561698543939756,0.0006152430658197261,244,"{""ecr"": 57, ""measure"": 3, ""rz"": 203, ""sx"": 126, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q30_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_yonsei,ibm_yonsei,aer_ideal_backend_transpiled,4,9,262144,3.851367685602685e-05,0.003069891269980122,7.5537049379138415,7.561698543939756,0.007993606025914701,319,"{""ecr"": 76, ""measure"": 4, ""rz"": 276, ""sx"": 171, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q40_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_yonsei,ibm_yonsei,aer_ideal_backend_transpiled,5,5,262144,5.07118875570885e-05,0.004202178207561539,7.568532179222584,7.561698543939756,0.006833635282827544,328,"{""ecr"": 113, ""measure"": 5, ""rz"": 396, ""sx"": 242, ""x"": 6}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q50_seed05_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_yonsei,ibm_yonsei,aer_ideal_backend_transpiled,6,2,262144,7.875319453484348e-05,0.004150755749525504,7.558828408718227,7.561698543939756,0.002870135221528791,492,"{""ecr"": 159, ""measure"": 6, ""rz"": 533, ""sx"": 323, ""x"": 12}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q60_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_yonsei,ibm_yonsei,aer_ideal_backend_transpiled,7,0,262144,0.0002729364375252978,0.007837306166404809,7.557726472444641,7.561698543939756,0.003972071495114804,559,"{""ecr"": 204, ""measure"": 7, ""rz"": 662, ""sx"": 387, ""x"": 10}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q70_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_yonsei,ibm_yonsei,aer_ideal_backend_transpiled,8,2,262144,0.004056642994789935,0.031129094420627862,7.567936554333814,7.561698543939756,0.0062380103940578024,659,"{""ecr"": 172, ""measure"": 8, ""rz"": 612, ""sx"": 379, ""x"": 18}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q80_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_yonsei,ibm_yonsei,aer_noise_model_from_backend,2,0,262144,0.0016708600255793925,0.023964841835700097,8.557016621313654,7.561698543939756,0.9953180773738977,21,"{""ecr"": 3, ""measure"": 2, ""rz"": 18, ""sx"": 14}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q20_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
