task,quantity,family,mode,method,reps,data_qubits,objective_qubits,total_problem_qubits,phase_qubits,shots,phase_states,estimator_model,qae_mae_vs_analytic,qae_median_abs_error_vs_analytic,qae_mae_vs_exact,qae_median_abs_error_vs_exact,exact_mae_vs_analytic,qae_estimate_std,n_points,n_trials
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,10,2048,1024,qpe_phase_register_mean_sampling,0.0030256208521010895,0.0013470691988030081,0.0011192586834111065,0.0003964442257516354,0.003824388767823178,2.3623845317117445,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,10,8192,1024,qpe_phase_register_mean_sampling,0.0029874094185065475,0.0014537196482315995,0.0008649746162928235,0.0003225741731592846,0.003824388767823178,2.3623814883309397,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,4,512,16,qpe_phase_register_mean_sampling,0.20850287192886163,0.1011969922602618,0.01060173096461013,0.004989070519869632,0.21910460289347175,2.599385402995243,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,4,2048,16,qpe_phase_register_mean_sampling,0.20851500379141005,0.10107617063957952,0.010589599102061708,0.005109892140551908,0.21910460289347175,2.5993557695457334,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,4,8192,16,qpe_phase_register_mean_sampling,0.20858463117612436,0.10109829681148208,0.010519971717347395,0.005087765968649349,0.21910460289347175,2.5994325108831613,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,6,512,64,qpe_phase_register_mean_sampling,0.2082562491874734,0.10118763300615619,0.010848353705998353,0.004998429773975244,0.21910460289347175,2.5990405364738387,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,6,2048,64,qpe_phase_register_mean_sampling,0.20829718882351891,0.10089609600138416,0.01080741406995283,0.005289966778747268,0.21910460289347175,2.5992093026392333,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,6,8192,64,qpe_phase_register_mean_sampling,0.2081667351762872,0.10097521300736678,0.01093786771718455,0.0052108497727646474,0.21910460289347175,2.5989646742041566,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,8,512,256,qpe_phase_register_mean_sampling,0.21190055468125757,0.10263166390019796,0.007333880767595093,0.0028028692123200916,0.21910460289347175,2.603078314368974,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,8,2048,256,qpe_phase_register_mean_sampling,0.2119685427373018,0.10269728225114805,0.007139096997596308,0.0032617995500008323,0.21910460289347175,2.6033248751627607,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,8,8192,256,qpe_phase_register_mean_sampling,0.21196942561625828,0.10270893849676854,0.007135177277213455,0.003477124283362887,0.21910460289347175,2.6032211777369585,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,10,512,1024,qpe_phase_register_mean_sampling,0.21720450847119746,0.1053936263148113,0.0023879651029709162,0.0007083869322784819,0.21910460289347175,2.6088825638483812,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,10,2048,1024,qpe_phase_register_mean_sampling,0.21739133993671475,0.10528197451535126,0.0017668352168333985,0.0006795305919653216,0.21910460289347175,2.609352353214234,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,qGAN,8,5,1,6,10,8192,1024,qpe_phase_register_mean_sampling,0.21734272984342895,0.10531861683355803,0.001763029769345124,0.0008404852932306084,0.21910460289347175,2.6092364468151192,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.03099396900203332,0.019241630964780376,0.04053351292260619,0.013963419949160116,0.025386680341171364,0.3248252677720616,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.02802937855717796,0.017156096659303857,0.038807947243876886,0.012096493198067753,0.025386680341171364,0.32331974390937734,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.027320365018683512,0.01678840494863397,0.03808854838077759,0.011537685257870106,0.025386680341171364,0.3228460435026524,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.018224687021231745,0.014705372332994598,0.014001242577517097,0.006217553929214498,0.025386680341171364,0.29630307111629567,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.016888992049289855,0.014481854572119895,0.013169060173702025,0.0052433743164252145,0.025386680341171364,0.29594718105263185,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.016454553820310285,0.01444602246006571,0.01312310526786483,0.005020076574950072,0.025386680341171364,0.2960129495965132,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.02435822832116673,0.023347626570084656,0.0032470296530850975,0.0017850572417134197,0.025386680341171364,0.28307623475173255,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.024461229520935324,0.024835033651475935,0.002806818273561716,0.001601308931937124,0.025386680341171364,0.28303896810347223,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.02442507818288904,0.02470556065741497,0.0025617366963699246,0.0015872564345062491,0.025386680341171364,0.28307875228639734,9,100
