source,condition,noise_family,scale,n,seed,shots,kl,tvd,integral,analytic_ref,abs_error,transpiled_depth,transpiled_size,ecr_count,sx_count,rz_count,x_count,measure_count,scenario,correction_family,gate_scale,readout_scale,thermal_scale
aer,all_noise_corrected_0.25,all_noise_correction,0.25,8,2,4096,0.1188942909944723,0.1897704993790397,8.393430346645575,7.561698543939756,0.8317318027058187,637,1181,172,377,609,15,8,all noise correction,all_noise_correction,0.25,0.25,0.25
aer,all_noise_corrected_0.5,all_noise_correction,0.5,8,2,4096,0.1989924691454391,0.2519182901461689,8.826954626005662,7.561698543939756,1.265256082065906,637,1181,172,377,609,15,8,all noise correction,all_noise_correction,0.5,0.5,0.5
aer,all_noise_corrected_0.75,all_noise_correction,0.75,8,2,4096,0.2730291589096021,0.3027249584382889,9.164464856870046,7.561698543939756,1.6027663129302896,637,1181,172,377,609,15,8,all noise correction,all_noise_correction,0.75,0.75,0.75
aer,all_noise_corrected_1,all_noise_correction,1.0,8,2,4096,0.3055473701051876,0.3198371041664277,9.200843424543672,7.561698543939756,1.639144880603916,637,1181,172,377,609,15,8,all noise correction,all_noise_correction,1.0,1.0,1.0
ideal,ideal_exact,ideal,,8,2,0,0.0034159502735625,0.0282579062589579,7.564022638175014,7.561698543939756,0.0023240942352575,637,1181,172,377,609,15,8,reference,ideal,0.0,0.0,0.0
aer,thermal_corrected_0,thermal_correction,0.0,8,2,4096,0.1989780857606567,0.2465648082715589,8.804690030847183,7.561698543939756,1.2429914869074272,637,1181,172,377,609,15,8,thermal correction,thermal_correction,1.0,1.0,0.0
aer,thermal_corrected_0.1,thermal_correction,0.1,8,2,4096,0.207503119696953,0.2588655517751407,8.882929775412725,7.561698543939756,1.3212312314729688,637,1181,172,377,609,15,8,thermal correction,thermal_correction,1.0,1.0,0.1
aer,thermal_corrected_0.25,thermal_correction,0.25,8,2,4096,0.240731457185661,0.2790305904821051,8.984467959727441,7.561698543939756,1.422769415787685,637,1181,172,377,609,15,8,thermal correction,thermal_correction,1.0,1.0,0.25
aer,thermal_corrected_0.5,thermal_correction,0.5,8,2,4096,0.2734124279284061,0.2966689529672011,9.10488758628556,7.561698543939756,1.543189042345804,637,1181,172,377,609,15,8,thermal correction,thermal_correction,1.0,1.0,0.5
aer,thermal_corrected_0.75,thermal_correction,0.75,8,2,4096,0.2960460228898474,0.3127383104881823,9.175323752043832,7.561698543939756,1.613625208104076,637,1181,172,377,609,15,8,thermal correction,thermal_correction,1.0,1.0,0.75
aer,thermal_corrected_1,thermal_correction,1.0,8,2,4096,0.3055473701051876,0.3198371041664277,9.200843424543672,7.561698543939756,1.639144880603916,637,1181,172,377,609,15,8,thermal correction,thermal_correction,1.0,1.0,1.0
