source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,source_file,recovered_from_jobs
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.5224831744981202,-1.65060665781132,0.010004801105041,0.0013628949488655,0.0086419061561755,32465,10659,0,0.2387584127509399,0.2384266442167261,0.2390901812851536,0.5218196374296926,0.5231467115665477,0.0003317685342137,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073716Z.csv,
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,6,1,8192,0.005,0.05,-1.640601856706279,0.5211059198057202,-1.6427244325637949,0.521092616701981,-1.6426824961115103,0.0020806394052312,4.193645228456333e-05,0.0021225758575158,30798,11291,0,0.2394536916490094,0.2390073445862855,0.2399000387117334,0.520199922576533,0.521985310827429,0.0004463470627239,114688,"[0, 0, 14]","[1.0, 29.0]",2,14,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073716Z.csv,
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,7,1,8192,0.005,0.05,-1.640601856706279,0.5210614370124688,-1.6417192827636076,0.5210563033085573,-1.6417031078941875,0.0011012511879087,1.6174869419849358e-05,0.0011174260573285,66227,25097,0,0.2394718483457213,0.239196203270954,0.2397474934204886,0.5205050131590228,0.5216075934580919,0.0002756450747672,188416,"[0, 0, 23]","[1.0, 47.0]",2,23,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081014Z.csv,
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,8,1,8192,0.005,0.05,-1.640601856706279,0.5185498809808726,-1.6335919276211652,0.5185342523550737,-1.6335426926335943,0.0070591640726846,4.923498757092304e-05,0.0070099290851137,71052,23983,0,0.2407328738224631,0.2404165270709229,0.2410492205740034,0.5179015588519932,0.519166945858154,0.0003163467515402,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081014Z.csv,
aer_noise,ibm_yonsei,aer_noise_model_from_backend,2,1,8192,0.005,0.05,-1.640601856706279,0.5553494065680916,-1.9291098572856649,0.4341125449127221,-1.5079709812561364,0.1326308754501426,0.4211388760295285,0.2885080005793858,6104,1415,0,0.2829437275436389,0.282664924428047,0.2832225306592309,0.4335549386815381,0.4346701511439059,0.0002788031155919,196608,"[0, 0, 24]","[1.0, 49.0]",2,24,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073641Z.csv,
aer_noise,ibm_yonsei,aer_noise_model_from_backend,3,1,8192,0.005,0.05,-1.640601856706279,0.5466334516883146,-1.825179940808173,0.3515901551976925,-1.17394077634744,0.4666610803588389,0.6512391644607329,0.184578084101894,13747,3961,0,0.3242049224011537,0.3237993053427552,0.3246105394595522,0.3507789210808956,0.3524013893144895,0.0004056170583984,139264,"[0, 0, 17]","[1.0, 35.0]",2,17,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073641Z.csv,
aer_noise,ibm_yonsei,aer_noise_model_from_backend,4,1,8192,0.005,0.05,-1.640601856706279,0.5262812191518782,-1.6784493467444732,0.1912808322857806,-0.6100449271440848,1.030556929562194,1.0684044196003883,0.0378474900381942,25401,9346,0,0.4043595838571097,0.40405581249126,0.4046633552229594,0.1906732895540811,0.19188837501748,0.0003037713658497,196608,"[0, 0, 24]","[1.0, 49.0]",2,24,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073641Z.csv,
aer_noise,ibm_yonsei,aer_noise_model_from_backend,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.0666578894156049,-0.2105827736380897,1.4300190830681894,1.4386609892243647,0.0086419061561755,39123,12916,0,0.4666710552921975,0.4663491173831983,0.4669929932011968,0.0660140135976062,0.0673017652336034,0.0003219379089992,188416,"[0, 0, 23]","[1.0, 47.0]",2,23,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073716Z.csv,
aer_noise,ibm_yonsei,aer_noise_model_from_backend,6,1,8192,0.005,0.05,-1.640601856706279,0.5211059198057202,-1.6427244325637949,0.0798176524453142,-0.2516156559316902,1.3889862007745888,1.3911087766321046,0.0021225758575158,41388,15088,0,0.4600911737773429,0.4597035726584296,0.4604787748962562,0.0790424502074875,0.0805928546831408,0.0003876011189133,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073716Z.csv,
aer_noise,ibm_yonsei,aer_noise_model_from_backend,7,1,8192,0.005,0.05,-1.640601856706279,0.5210614370124688,-1.6417192827636076,-0.0011815834913226,0.0037228400800905,1.6443246967863696,1.6454421228436982,0.0011174260573285,34982,13012,0,0.5005907917456613,0.4999841988939882,0.5011973845973344,-0.0023947691946688,3.16022120234738e-05,0.000606592851673,98304,"[0, 0, 12]","[1.0, 25.0]",2,12,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T081236Z.csv,
